signal_key,signal_label,year,event_days,realized_event_days,eligible_base_days,coverage_pct,directional_mean_bp,directional_median_bp,directional_p05_bp,directional_p95_bp,directional_min_bp,directional_max_bp,directional_win_rate_pct,directional_loss_gt_3pct_pct,eligible_directional_mean_bp,eligible_directional_win_rate_pct,lift_vs_eligible_bp
minus_exit,负向退出（-1→0）,2018,1,1,17,5.88235294117647,523.7189302932976,523.7189302932976,523.7189302932976,523.7189302932976,523.7189302932976,523.7189302932976,100.0,0.0,-20.518971671533453,47.05882352941176,544.237901964831
minus_exit,负向退出（-1→0）,2019,4,4,11,36.36363636363637,39.66858258356493,76.46681743395112,-103.89872164258622,131.71835801917538,-133.90844884577535,139.64914431213282,75.0,0.0,-66.20980849248195,36.36363636363637,105.87839107604688
minus_exit,负向退出（-1→0）,2020,6,6,20,30.0,40.996986596213965,67.51867107253062,-208.32537851715932,213.3546032951822,-264.75020162959663,219.33636246953102,66.66666666666666,0.0,-1.0013639069603237,65.0,41.99835050317429
minus_exit,负向退出（-1→0）,2021,2,2,27,7.4074074074074066,-69.66513178771895,-69.66513178771895,-149.07312448383198,9.742860908394094,-157.8962347834001,18.565971207962217,50.0,0.0,-9.831024203111303,44.44444444444444,-59.834107584607644
minus_exit,负向退出（-1→0）,2022,13,13,59,22.033898305084744,20.410288013672087,25.398147154287454,-263.6879146167084,262.0537393483785,-363.2572463813955,424.5450466594036,61.53846153846154,7.6923076923076925,-30.857237284455675,50.847457627118644,51.267525298127765
minus_exit,负向退出（-1→0）,2023,7,7,35,20.0,-16.492940126126488,-8.172025727257726,-109.48240367644046,75.34545140343988,-133.3360374151138,105.9751818807686,28.57142857142857,0.0,-16.69489865771778,42.857142857142854,0.2019585315912913
minus_exit,负向退出（-1→0）,2024,4,4,28,14.285714285714285,299.63079977713215,166.68214325161412,-26.537412073667383,811.9271307636568,-47.6257145044523,912.7846271097528,75.0,0.0,-11.83049339899676,46.42857142857143,311.4612931761289
minus_exit,负向退出（-1→0）,2025,1,1,6,16.666666666666664,43.87945976316976,43.87945976316976,43.87945976316976,43.87945976316976,43.87945976316976,43.87945976316976,100.0,0.0,54.83568691641182,83.33333333333334,-10.956227153242054
minus_exit,负向退出（-1→0）,2026,7,7,30,23.333333333333332,57.05343070313135,13.358646777945626,-174.528072005541,328.36718116712143,-211.00535112318573,409.3524013679728,71.42857142857143,0.0,-31.065883900326902,46.666666666666664,88.11931460345825
plus_exit,正向退出（+1→0）,2018,1,1,17,5.88235294117647,98.47035448641073,98.47035448641073,98.47035448641073,98.47035448641073,98.47035448641073,98.47035448641073,100.0,0.0,55.778661635954116,58.82352941176471,42.69169285045661
plus_exit,正向退出（+1→0）,2019,0,0,62,0.0,,,,,,,,,-59.32850243100491,32.25806451612903,
plus_exit,正向退出（+1→0）,2020,7,7,44,15.909090909090908,141.49487388091393,118.00371158291578,-166.5731068288896,442.3989154512157,-179.45880046822404,474.686378066681,71.42857142857143,0.0,-20.811824382262525,43.18181818181818,162.30669826317646
plus_exit,正向退出（+1→0）,2021,5,5,41,12.195121951219512,-11.45110811720551,-22.55836194157368,-96.97583515372354,100.10084976927433,-108.33109463332934,125.105178540732,40.0,0.0,-9.598229656816422,39.02439024390244,-1.852878460389089
plus_exit,正向退出（+1→0）,2022,6,6,40,15.0,-2.42151096185435,32.16322280424677,-148.86877657470598,103.99908840474399,-165.29414798278185,114.98252733266767,50.0,0.0,-8.809332703639592,45.0,6.387821741785242
plus_exit,正向退出（+1→0）,2023,0,0,48,0.0,,,,,,,,,-1.6641756781807444,47.91666666666667,
plus_exit,正向退出（+1→0）,2024,10,10,39,25.64102564102564,105.52682263171853,102.24128242103447,-169.20012202461487,373.06835490321566,-196.7125993737451,407.55398318323535,60.0,0.0,-64.79098231181653,48.717948717948715,170.31780494353507
plus_exit,正向退出（+1→0）,2025,16,16,73,21.91780821917808,6.024784886984051,-34.44798549328998,-172.8375350927014,178.4125242506163,-250.45014197559112,203.34607803458417,37.5,0.0,-18.07652785775549,43.83561643835616,24.10131274473954
plus_exit,正向退出（+1→0）,2026,17,17,42,40.476190476190474,43.7344534654233,51.19676012213637,-169.10793819677394,258.30104191230106,-232.78230206503105,308.6459701294886,52.94117647058824,0.0,-32.29559705186196,35.714285714285715,76.03005051728526
minus_entry,零段向下（0→-1）,2018,18,18,208,8.653846153846153,43.160287486338866,25.379793355366775,-158.51154582701452,379.0057344806669,-345.227276948612,523.6981882599134,61.111111111111114,5.555555555555555,12.391817927569772,51.92307692307693,30.768469558769095
minus_entry,零段向下（0→-1）,2019,15,15,171,8.771929824561402,75.09803697007342,48.90752299217871,-133.14621007396622,342.04607946217294,-205.35346051740345,396.9967757993731,73.33333333333333,0.0,1.7680509764217913,49.122807017543856,73.32998599365163
minus_entry,零段向下（0→-1）,2020,20,20,179,11.1731843575419,8.06643258034179,-8.407670900870134,-202.73332702323341,223.8641222240965,-281.1963547059615,304.27276394770166,50.0,0.0,-7.616616054718519,47.486033519553075,15.68304863506031
minus_entry,零段向下（0→-1）,2021,22,22,175,12.571428571428573,0.6040851228919276,7.9011716581844915,-192.42675531503173,183.0517085272645,-202.39207302430228,256.1104634780109,50.0,0.0,-8.35223506050827,44.57142857142857,8.956320183400198
minus_entry,零段向下（0→-1）,2022,15,15,143,10.48951048951049,-2.3891659132803453,-4.481466137000734,-177.12295899447406,219.35096559146092,-297.92375559549276,235.68053390511045,46.666666666666664,0.0,4.411166299674938,53.14685314685315,-6.800332212955283
minus_entry,零段向下（0→-1）,2023,13,13,159,8.176100628930817,-11.481388868426372,-30.052854692030895,-93.29628991639316,82.312326818432,-98.3957904372046,96.96935142162188,46.15384615384615,0.0,0.9354100891191467,50.943396226415096,-12.416798957545518
minus_entry,零段向下（0→-1）,2024,12,12,175,6.857142857142858,40.14161104565409,67.14616022630071,-138.92045873038862,159.3029610829032,-143.42587311115597,165.0596392195669,66.66666666666666,0.0,6.492482566789323,55.42857142857143,33.64912847886477
minus_entry,零段向下（0→-1）,2025,14,14,164,8.536585365853659,32.6929527618198,4.235360031647484,-100.78822701036039,266.217182956383,-134.55151857785674,545.3944976400716,50.0,0.0,-8.000650124579996,45.73170731707317,40.693602886399795
